last_name,first_name,id,job_title,department,email,phone,location
"Chen","Michael","i9j0k1l2","Chief Technology Officer","Information Technology","michael.chen@agency.gov","202-555-3456 x7890","Tech Center - 4th Floor"
"Garcia","Robert","y5z6a7b8","HR Director","Human Resources","robert.garcia@agency.gov","202-555-7890 x2345","HR Complex - 2nd Floor"
"Johnson","Sarah","m3n4o5p6","Lead Counsel","Legal Services","sarah.johnson@agency.gov","202-555-4567 x8901","Legal Building - 1st Floor"
"Kim","Lisa","u1v2w3x4","Communications Manager","Communications","lisa.kim@agency.gov","202-555-6789 x0123","Media Center - Ground Floor"
"Lee","Amanda","c9d0e1f2","Senior HR Specialist","Human Resources","amanda.lee@agency.gov","202-555-8901 x3456","HR Complex - 2nd Floor"
"Rodriguez","Emily","e5f6g7h8","Senior Policy Analyst","Policy","emily.rodriguez@agency.gov","202-555-2345 x6789","West Wing - 2nd Floor"
"Smith","John","a1b2c3d4","Director of Operations","Administration","john.smith@agency.gov","202-555-1234 x5678","Main HQ - 3rd Floor"
"Williams","David","q7r8s9t0","Budget Director","Budget and Planning","david.williams@agency.gov","202-555-5678 x9012","Finance Wing - 5th Floor"
"Aaronson","Rachel","z1y2x3w4","Senior Compliance Officer","Legal Services","rachel.aaronson@agency.gov","202-555-9012 x4567","Legal Building - 3rd Floor"
"Adams","Marcus","b5c6d7e8","IT Security Specialist","Information Technology","marcus.adams@agency.gov","202-555-1123 x5678","Tech Center - 2nd Floor"
"Alvarez","Sofia","f9g0h1j2","Budget Analyst","Budget and Planning","sofia.alvarez@agency.gov","202-555-2234 x6789","Finance Wing - 4th Floor"
"Baker","Christopher","k3l4m5n6","Communications Coordinator","Communications","christopher.baker@agency.gov","202-555-3345 x7890","Media Center - 1st Floor"
"Benson","Karen","p7q8r9s0","Human Resources Manager","Human Resources","karen.benson@agency.gov","202-555-4456 x8901","HR Complex - 3rd Floor"
"Brown","James","t1u2v3w4","Policy Research Lead","Policy","james.brown@agency.gov","202-555-5567 x9012","West Wing - 4th Floor"
"Carter","Elena","x5y6z7a8","Senior Procurement Specialist","Administration","elena.carter@agency.gov","202-555-6678 x0123","Main HQ - 2nd Floor"
"Chen","Olivia","b9c0d1e2","Data Analytics Manager","Information Technology","olivia.chen@agency.gov","202-555-7789 x1234","Tech Center - 5th Floor"
"Davis","Jamal","f3g4h5j6","Communications Director","Communications","jamal.davis@agency.gov","202-555-8890 x2345","Media Center - Ground Floor"
"Edwards","Maria","k7l8m9n0","Senior Legal Counsel","Legal Services","maria.edwards@agency.gov","202-555-9901 x3456","Legal Building - 2nd Floor"
"Foster","Daniel","p1q2r3s4","Budget Director Deputy","Budget and Planning","daniel.foster@agency.gov","202-555-0012 x4567","Finance Wing - 3rd Floor"
"Garcia","Isabella","t5u6v7w8","HR Training Specialist","Human Resources","isabella.garcia@agency.gov","202-555-1123 x5678","HR Complex - 1st Floor"
"Green","Ryan","x9y0z1a2","Policy Implementation Analyst","Policy","ryan.green@agency.gov","202-555-2234 x6789","West Wing - 3rd Floor"
"Harris","Aisha","b3c4d5e6","IT Infrastructure Manager","Information Technology","aisha.harris@agency.gov","202-555-3345 x7890","Tech Center - 1st Floor"
"Jackson","Nathan","f7g8h9j0","Senior Administrative Officer","Administration","nathan.jackson@agency.gov","202-555-4456 x8901","Main HQ - 4th Floor"
